,,,,,,,
SUM de Apariciones,Temporada,,,,,,
Nombre,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,Suma total
Karen Araya,3,5,19,1,4,13,45
Camila Sáez,3,4,9,,2,13,31
Yanara Aedo,,4,12,1,4,4,25
Christiane Endler,3,4,10,1,3,3,24
Francisca Lara,3,5,10,,4,,22
Daniela Zamora	,,4,11,1,,5,21
Yesenia López,3,5,,1,,11,20
Javiera Toro ,,,8,1,4,5,18
María José Urrutia,,3,7,1,4,2,17
Yenny Acuña ,,,,,4,12,16
Su Helen Galaz,1,4,8,1,,2,16
Rosario Balmaceda,,,7,1,4,4,16
Carla Guerrero,3,4,5,1,,3,16
Nayadet López ,,,3,1,1,9,14
Fernanda Pinilla,3,,7,,,4,14
Yastín Jiménez,,,,,1,12,13
Javiera Grez,2,,,,2,8,12
Rocío Soto,1,4,5,1,,,11
Geraldine Leyton,3,5,,1,1,,10
Maria José Rojas,3,4,,,0,,7
Yessenia Huenteo,3,3,,,,,6
Claudia Soto,3,3,,,,,6
Antonia Canales ,,,0,0,0,6,6
Michelle Olivares,,,,,,5,5
Fernanda Ramírez ,,,,0,1,4,5
Daniela Pardo ,,,5,,,,5
Valentina Navarrete ,,,,,,4,4
Natalia Campos,0,1,2,0,1,,4
Millaray Cortez,,,,,,4,4
Yazmín Torrealba ,,,3,,,,3
Sonya Keefe,,,,0,,3,3
María Mardones,,,2,1,,,3
Maria Cristina Julio,2,,,,1,,3
Ivette Olivares,,,,,,3,3
Isidora Olave ,,,,0,,3,3
Franchesca Caniguan,,,,,,3,3
Fernanda Hidalgo ,,,,,,3,3
Daniela Pardo,2,,,1,,,3
Bárbara Santibañez,,3,,,,,3
Ana Gutiérrez	,,3,,,,,3
Sofia Hartard,2,,,,,,2
Melissa Bustos,,,,,,2,2
Karen Fuentes ,,,,,,2,2
Anaís Alvarez ,,,,,,2,2
Ámbar Figueroa ,,,,,,2,2
Agustina Heyermann,,,,,,2,2
Ryann Torrero ,,,,,,1,1
Nicol Sanhueza,,1,,,,,1
Javiera Roa,,,1,0,,,1
Gissela Pino,,,,,,1,1
Denisse Orellana,1,,,,,,1
Anaís Cifuentes,,,,,,1,1
Thiare Parraguez ,,,,,,0,0
Nicole Gutiérrez,,,,,0,,0
Nicole Cornejo ,,,,,0,,0
Isidora Hernández ,,,,,0,,0
Ignacia Bustos ,,,,,,0,0
Catalina Mellado ,,,,,,0,0
Barbara Muñoz,,,,0,,,0
Âmbar Soruco,0,0,,,,,0
Suma total,44,69,134,15,41,161,464
