,,,,,,,,,,,
Jugadora,2014,2015,2017,2018,2019,2020,2021,2022,2023,2024,Suma total
María José Urrutia,,6,18,36,13,2,15,3,6,,99
Roselord Borgella,,,,62,33,,,,,,95
Yenny Acuña,,,2,27,19,12,17,17,,,94
Verónica Riquelme,11,11,20,9,,18,9,2,9,,89
Nathalie Quezada,7,10,3,26,16,,6,2,5,,75
Karen Araya,4,19,8,,5,10,23,,,,69
Rebeca Fernández,2,8,5,,7,,10,16,14,,62
Javiera Grez,,4,5,6,,,22,8,15,,60
Fernanda Araya,5,11,15,12,,,,12,,,55
Bárbara Sánchez,,,,4,9,2,16,4,14,4,53
Yazmín Torrealba,3,,,8,28,2,5,4,1,,51
Isidora Olave,,,,2,11,,3,12,15,6,49
Yessenia Huenteo,7,1,4,11,,,12,5,7,,47
Viviana Torres,,4,,15,8,,5,10,4,,46
Rosario Balmaceda,,,7,14,11,,9,5,,,46
Sonya Keefe,,,,1,,,17,26,,,44
Daniela Zamora,,,,7,7,13,,8,5,4,44
Ivette Olivares,8,2,4,8,8,,4,4,5,,43
Franchesca Caniguan,3,1,2,5,10,,6,16,,,43
Yusmery Ascanio,5,8,,9,13,,,6,,,41
Melany Letelier,,,,8,6,2,12,13,,,41
Jazmín Gallardo,3,5,4,9,8,,,6,6,,41
Francisca Lara,11,25,3,,,,,,,,39
Daniela Pardo,2,3,5,,9,,7,3,2,6,37
Yessenia López,,8,,,1,,16,5,2,4,36
Nicol Sanhueza,,,3,24,,1,3,2,2,,35
Nicole Fajre,,3,6,6,2,1,6,7,3,,34
Ysaura Viso,,,,,,,,21,12,,33
Valentina Contreras,,,,14,9,,4,3,1,,31
Francisca Maturana,6,5,2,13,,,2,3,,,31
Ana Gutiérrez,4,3,4,9,,,5,1,4,,30
Yanara Aedo,3,,,,,,,2,10,12,27
Katya Ponce,,,,,13,,14,,,,27
Francesca Acuña,,,1,1,6,,7,6,5,,26
Agustina Heyermann,,,,,,,,7,13,6,26
Yastin Jiménez,,,,5,6,,3,7,4,,25
Javiera Paillán,,,,13,11,,1,,,,25
Sol Morales,,3,2,4,4,,1,3,6,,23
Maryorie Hernández,,6,3,9,3,,2,,,,23
Elisa Pérez,,,,2,3,,5,4,9,,23
Bárbara Muñoz,2,7,2,6,3,1,,1,1,,23
Lindsay Zullo,,,,13,9,,,,,,22
Fernanda Pinilla,1,7,1,6,,,2,4,1,,22
Candy Schencke,1,,2,8,,,6,,5,,22
Yamila Pérez,,2,1,6,6,,3,1,2,,21
Thiare Parraguez,,,,,,,,20,1,,21
Janet Salgado,14,7,,,,,,,,,21
Fernanda Hidalgo,,,3,9,5,,2,,2,,21
