Jugadora/año,2014,2015,2017,2018,2019,2020,2021,2022,2023,2024,Suma total
María José Urrutia,,6,18,36,13,2,15,3,6,,99
Roselord Borgella,,,,62,33,,,,,,95
Yenny Acuña,,,2,27,19,12,17,17,,,94
Verónica Riquelme,11,11,20,9,,18,9,2,9,,89
Nathalie Quezada,7,10,3,26,16,,6,2,5,,75
Karen Araya,4,19,8,,5,10,23,,,,69
Rebeca Fernández,2,8,5,,7,,10,16,14,,62
Javiera Grez,,4,5,6,,,22,8,15,,60
Fernanda Araya,5,11,15,12,,,,12,,,55
Bárbara Sánchez,,,,4,9,2,16,4,14,4,53
Yazmín Torrealba,3,,,8,28,2,5,4,1,,51
Isidora Olave,,,,2,11,,3,12,15,6,49
Yessenia Huenteo,7,1,4,11,,,12,5,7,,47
Viviana Torres,,4,,15,8,,5,10,4,,46
Rosario Balmaceda,,,7,14,11,,9,5,,,46
